filename,path,file type,size (bytes)
127482.csv,/pub10/ushcn_snow/R_input/IN,csv,2374240
127522.csv,/pub10/ushcn_snow/R_input/IN,csv,2944867
127646.csv,/pub10/ushcn_snow/R_input/IN,csv,2868329
127755.csv,/pub10/ushcn_snow/R_input/IN,csv,2247448
127875.csv,/pub10/ushcn_snow/R_input/IN,csv,2830752
127935.csv,/pub10/ushcn_snow/R_input/IN,csv,2613692
128036.csv,/pub10/ushcn_snow/R_input/IN,csv,2422584
129080.csv,/pub10/ushcn_snow/R_input/IN,csv,1440567
129113.csv,/pub10/ushcn_snow/R_input/IN,csv,851580
129253.csv,/pub10/ushcn_snow/R_input/IN,csv,3115620
129511.csv,/pub10/ushcn_snow/R_input/IN,csv,2214216
129557.csv,/pub10/ushcn_snow/R_input/IN,csv,2978064
129670.csv,/pub10/ushcn_snow/R_input/IN,csv,2482848
140264.csv,/pub10/ushcn_snow/R_input/KS,csv,2453157
140365.csv,/pub10/ushcn_snow/R_input/KS,csv,2847906
140405.csv,/pub10/ushcn_snow/R_input/KS,csv,2689120
141704.csv,/pub10/ushcn_snow/R_input/KS,csv,2611238
141740.csv,/pub10/ushcn_snow/R_input/KS,csv,2888340
141867.csv,/pub10/ushcn_snow/R_input/KS,csv,1370560
142401.csv,/pub10/ushcn_snow/R_input/KS,csv,2790087
142459.csv,/pub10/ushcn_snow/R_input/KS,csv,2681457
142835.csv,/pub10/ushcn_snow/R_input/KS,csv,2537990
143527.csv,/pub10/ushcn_snow/R_input/KS,csv,2984310
143810.csv,/pub10/ushcn_snow/R_input/KS,csv,2834784
143954.csv,/pub10/ushcn_snow/R_input/KS,csv,3080398
144087.csv,/pub10/ushcn_snow/R_input/KS,csv,1224774
144464.csv,/pub10/ushcn_snow/R_input/KS,csv,2527106
144530.csv,/pub10/ushcn_snow/R_input/KS,csv,2582980
144559.csv,/pub10/ushcn_snow/R_input/KS,csv,2746800
144588.csv,/pub10/ushcn_snow/R_input/KS,csv,2327605
144695.csv,/pub10/ushcn_snow/R_input/KS,csv,2483517
144972.csv,/pub10/ushcn_snow/R_input/KS,csv,3020340
145152.csv,/pub10/ushcn_snow/R_input/KS,csv,2966806
145173.csv,/pub10/ushcn_snow/R_input/KS,csv,2719888
145363.csv,/pub10/ushcn_snow/R_input/KS,csv,3016506
145856.csv,/pub10/ushcn_snow/R_input/KS,csv,2764583
145906.csv,/pub10/ushcn_snow/R_input/KS,csv,2724327
145972.csv,/pub10/ushcn_snow/R_input/KS,csv,2522701
146128.csv,/pub10/ushcn_snow/R_input/KS,csv,2810236
147093.csv,/pub10/ushcn_snow/R_input/KS,csv,2894475
147271.csv,/pub10/ushcn_snow/R_input/KS,csv,2665008
147305.csv,/pub10/ushcn_snow/R_input/KS,csv,2410124
147542.csv,/pub10/ushcn_snow/R_input/KS,csv,2534345
148495.csv,/pub10/ushcn_snow/R_input/KS,csv,2557450
150254.csv,/pub10/ushcn_snow/R_input/KY,csv,2081109
150381.csv,/pub10/ushcn_snow/R_input/KY,csv,1584414
150619.csv,/pub10/ushcn_snow/R_input/KY,csv,2116575
150909.csv,/pub10/ushcn_snow/R_input/KY,csv,2706132
152791.csv,/pub10/ushcn_snow/R_input/KY,csv,2406007
153028.csv,/pub10/ushcn_snow/R_input/KY,csv,2574880
153430.csv,/pub10/ushcn_snow/R_input/KY,csv,2444256
153762.csv,/pub10/ushcn_snow/R_input/KY,csv,2377529
153994.csv,/pub10/ushcn_snow/R_input/KY,csv,2436746
154703.csv,/pub10/ushcn_snow/R_input/KY,csv,2330405
157324.csv,/pub10/ushcn_snow/R_input/KY,csv,2493953
158709.csv,/pub10/ushcn_snow/R_input/KY,csv,1120730
158714.csv,/pub10/ushcn_snow/R_input/KY,csv,2119026
160098.csv,/pub10/ushcn_snow/R_input/LA,csv,2658168
160205.csv,/pub10/ushcn_snow/R_input/LA,csv,2120885
160537.csv,/pub10/ushcn_snow/R_input/LA,csv,1944351
160549.csv,/pub10/ushcn_snow/R_input/LA,csv,2378492
161287.csv,/pub10/ushcn_snow/R_input/LA,csv,1341164
161411.csv,/pub10/ushcn_snow/R_input/LA,csv,2719548
162151.csv,/pub10/ushcn_snow/R_input/LA,csv,2795485
162534.csv,/pub10/ushcn_snow/R_input/LA,csv,3192048
163313.csv,/pub10/ushcn_snow/R_input/LA,csv,2478375
163800.csv,/pub10/ushcn_snow/R_input/LA,csv,2468936
164407.csv,/pub10/ushcn_snow/R_input/LA,csv,2395250
164700.csv,/pub10/ushcn_snow/R_input/LA,csv,2251970
165026.csv,/pub10/ushcn_snow/R_input/LA,csv,2288671
166664.csv,/pub10/ushcn_snow/R_input/LA,csv,2356209
167344.csv,/pub10/ushcn_snow/R_input/LA,csv,2894560
168163.csv,/pub10/ushcn_snow/R_input/LA,csv,2558775
169013.csv,/pub10/ushcn_snow/R_input/LA,csv,1059212
169806.csv,/pub10/ushcn_snow/R_input/LA,csv,2385768
190120.csv,/pub10/ushcn_snow/R_input/MA,csv,2582394
190535.csv,/pub10/ushcn_snow/R_input/MA,csv,1300167
190736.csv,/pub10/ushcn_snow/R_input/MA,csv,2548758
193213.csv,/pub10/ushcn_snow/R_input/MA,csv,780781
194105.csv,/pub10/ushcn_snow/R_input/MA,csv,2618140
195246.csv,/pub10/ushcn_snow/R_input/MA,csv,2099042
196486.csv,/pub10/ushcn_snow/R_input/MA,csv,2682919
196681.csv,/pub10/ushcn_snow/R_input/MA,csv,716542
196783.csv,/pub10/ushcn_snow/R_input/MA,csv,1350330
198367.csv,/pub10/ushcn_snow/R_input/MA,csv,1969191
198757.csv,/pub10/ushcn_snow/R_input/MA,csv,1067485
199316.csv,/pub10/ushcn_snow/R_input/MA,csv,1277646
180700.csv,/pub10/ushcn_snow/R_input/MD,csv,1672128
181385.csv,/pub10/ushcn_snow/R_input/MD,csv,2059512
181750.csv,/pub10/ushcn_snow/R_input/MD,csv,2182627
182282.csv,/pub10/ushcn_snow/R_input/MD,csv,999814
182523.csv,/pub10/ushcn_snow/R_input/MD,csv,1257768
183675.csv,/pub10/ushcn_snow/R_input/MD,csv,2192346
185111.csv,/pub10/ushcn_snow/R_input/MD,csv,2180304
185718.csv,/pub10/ushcn_snow/R_input/MD,csv,2296
185985.csv,/pub10/ushcn_snow/R_input/MD,csv,2101561
186620.csv,/pub10/ushcn_snow/R_input/MD,csv,2594440
186770.csv,/pub10/ushcn_snow/R_input/MD,csv,1906746
187330.csv,/pub10/ushcn_snow/R_input/MD,csv,2206125
187806.csv,/pub10/ushcn_snow/R_input/MD,csv,1813812
188000.csv,/pub10/ushcn_snow/R_input/MD,csv,2157406
189440.csv,/pub10/ushcn_snow/R_input/MD,csv,793350
189750.csv,/pub10/ushcn_snow/R_input/MD,csv,1138130
170100.csv,/pub10/ushcn_snow/R_input/ME,csv,728247
170814.csv,/pub10/ushcn_snow/R_input/ME,csv,2130067
171628.csv,/pub10/ushcn_snow/R_input/ME,csv,1621155
172426.csv,/pub10/ushcn_snow/R_input/ME,csv,2246370
172765.csv,/pub10/ushcn_snow/R_input/ME,csv,2531880
173046.csv,/pub10/ushcn_snow/R_input/ME,csv,2499490
173944.csv,/pub10/ushcn_snow/R_input/ME,csv,756072
174566.csv,/pub10/ushcn_snow/R_input/ME,csv,2547440
175304.csv,/pub10/ushcn_snow/R_input/ME,csv,2368120
176905.csv,/pub10/ushcn_snow/R_input/ME,csv,2098590
176937.csv,/pub10/ushcn_snow/R_input/ME,csv,2350832
179891.csv,/pub10/ushcn_snow/R_input/ME,csv,1976730
200032.csv,/pub10/ushcn_snow/R_input/MI,csv,2794906
200128.csv,/pub10/ushcn_snow/R_input/MI,csv,2234749
200146.csv,/pub10/ushcn_snow/R_input/MI,csv,2670228
200230.csv,/pub10/ushcn_snow/R_input/MI,csv,2888608
200779.csv,/pub10/ushcn_snow/R_input/MI,csv,3107760
201439.csv,/pub10/ushcn_snow/R_input/MI,csv,1775619
201486.csv,/pub10/ushcn_snow/R_input/MI,csv,769440
201492.csv,/pub10/ushcn_snow/R_input/MI,csv,2773473
